date,num_rrsig,num_httpsrr
2023-05-08,14683,199770
2023-05-09,14682,200007
2023-05-10,14699,199760
2023-05-11,14694,199731
2023-05-12,14700,199899
2023-05-13,14706,200042
2023-05-14,14687,200015
2023-05-15,14683,200199
2023-05-16,14661,200918
2023-05-17,14674,200875
2023-05-18,14725,200928
2023-05-19,14726,201073
2023-05-20,14731,201347
2023-05-21,14720,201305
2023-05-22,14725,201476
2023-05-23,14738,201501
2023-05-24,14738,201223
2023-05-25,14745,201171
2023-05-26,14760,201369
2023-05-27,14756,201491
2023-05-28,14769,201504
2023-05-29,14780,201666
2023-05-30,14784,201907
2023-05-31,14783,201938
2023-06-01,14807,202023
2023-06-02,14808,202046
2023-06-03,14803,201997
2023-06-04,14812,201830
2023-06-05,14819,201971
2023-06-06,14815,202119
2023-06-07,14812,201995
2023-06-08,14819,201981
2023-06-09,14817,202082
2023-06-10,14865,202077
2023-06-11,14878,202213
2023-06-12,14876,202363
2023-06-13,14867,202658
2023-06-14,14881,202310
2023-06-15,14885,202280
2023-06-16,14892,202407
2023-06-17,14898,202300
2023-06-18,14895,202294
2023-06-19,14898,202260
2023-06-20,14902,202517
2023-06-21,14909,202411
2023-06-22,14917,202656
2023-06-23,14929,202862
2023-06-24,14956,203208
2023-06-25,14956,203260
2023-06-26,14963,203270
2023-06-27,14943,203106
2023-06-28,14936,203183
2023-06-29,14922,203050
2023-06-30,14902,203042
2023-07-01,14891,203033
2023-07-02,14878,203105
2023-07-03,14872,203203
2023-07-04,14898,203290
2023-07-05,14896,203202
2023-07-06,14925,203095
2023-07-07,14913,203267
2023-07-08,14911,203359
2023-07-09,14922,203516
2023-07-10,14925,203680
2023-07-11,14911,203879
2023-07-12,14900,204030
2023-07-13,14901,204169
2023-07-14,14888,204163
2023-07-15,14885,204220
2023-07-16,14873,204120
2023-07-17,14903,203948
2023-07-18,14896,204159
2023-07-19,14889,204164
2023-07-20,14893,204157
2023-07-21,14889,204274
2023-07-22,14904,204251
2023-07-23,14897,204197
2023-07-24,14885,204614
2023-07-25,14884,204517
2023-07-26,14901,204488
2023-07-27,14901,204685
2023-07-28,14905,204821
2023-07-29,14891,204929
2023-07-30,14882,205099
2023-07-31,14869,205228
2023-08-01,14882,205058
2023-08-02,16866,238284
2023-08-03,16894,238237
2023-08-04,16889,238763
2023-08-05,16847,241021
2023-08-06,16840,240838
2023-08-07,16834,240787
2023-08-08,16846,240474
2023-08-09,16869,240655
2023-08-10,16889,240494
2023-08-11,16885,241080
2023-08-12,16903,241272
2023-08-13,16893,241486
2023-08-14,16932,240213
2023-08-15,16967,240154
2023-08-16,16976,240078
2023-08-17,16975,240097
2023-08-18,17008,240256
2023-08-19,17044,239979
2023-08-20,17055,239846
2023-08-21,17072,240108
2023-08-22,17081,240221
2023-08-23,17080,240473
2023-08-24,17085,240389
2023-08-25,17105,240557
2023-08-26,17064,240612
2023-08-27,17073,240783
2023-08-28,17052,241466
2023-08-29,17065,241525
2023-08-30,17051,241973
2023-08-31,17048,241985
2023-09-01,17006,243178
2023-09-02,16942,246758
2023-09-03,16905,249108
2023-09-04,16858,251610
2023-09-05,16814,253399
2023-09-06,16807,254017
2023-09-07,16829,254092
2023-09-08,16845,254132
2023-09-09,16758,253234
2023-09-10,16734,253684
2023-09-11,16731,253834
2023-09-12,16729,254161
2023-09-13,16743,254160
2023-09-14,16739,254474
2023-09-15,16750,254797
2023-09-16,16767,254871
2023-09-17,16759,255043
2023-09-18,16843,251757
2023-09-19,16851,252777
2023-09-20,16838,253212
2023-09-21,16843,253479
2023-09-22,16843,253479
2023-09-23,16884,254024
2023-09-24,16887,254351
2023-09-25,16884,254835
2023-09-26,16879,255234
2023-09-27,16880,255179
2023-09-28,16883,255010
2023-09-29,16894,254740
2023-09-30,16898,254700
2023-10-01,16898,254805
2023-10-02,16902,255336
2023-10-03,16896,256002
2023-10-04,16885,256205
2023-10-05,16870,256046
2023-10-06,16866,254425
2023-10-07,16739,258574
2023-10-08,16726,258372
2023-10-09,16734,257840
2023-10-10,16742,257397
2023-10-11,16744,257694
2023-10-12,16741,258038
2023-10-13,16754,258273
2023-10-14,16744,258445
2023-10-15,16756,258807
2023-10-16,16874,255771
2023-10-17,16879,256040
2023-10-18,16886,256490
2023-10-19,16876,256638
2023-10-20,16889,257193
2023-10-21,16872,255367
2023-10-22,16878,254610
2023-10-23,16891,254742
2023-10-24,16889,254774
2023-10-25,16892,254741
2023-10-26,16890,254593
2023-10-27,16882,254680
2023-10-28,16896,255011
2023-10-29,16895,255291
2023-10-30,16825,255623
2023-10-31,16804,256092
2023-11-01,16798,256255
2023-11-02,16800,257081
2023-11-03,16765,256220
2023-11-04,16597,261494
2023-11-05,16592,261539
2023-11-06,16575,261782
2023-11-07,16616,261657
2023-11-08,16699,261839
2023-11-09,16696,261704
2023-11-10,16685,262109
2023-11-11,16684,261867
2023-11-12,16665,262375
2023-11-13,16682,262648
2023-11-14,16689,262717
2023-11-15,16651,263565
2023-11-16,16663,264252
2023-11-17,16688,264646
2023-11-18,16695,265078
2023-11-19,16799,262077
2023-11-20,16880,259574
2023-11-21,16893,260057
2023-11-22,16900,259648
2023-11-23,16947,258684
2023-11-24,17011,258430
2023-11-25,17011,257999
2023-11-26,17006,257664
2023-11-27,17030,258062
2023-11-28,17027,257519
2023-11-29,17025,257724
2023-11-30,17015,257726
2023-12-01,17007,257909
2023-12-02,17003,258215
2023-12-03,16975,258325
2023-12-04,16981,258383
2023-12-05,16937,258037
2023-12-06,16913,258418
2023-12-07,16929,259001
2023-12-08,16923,258015
2023-12-09,16860,260420
2023-12-10,16735,265779
2023-12-11,16742,265868
2023-12-12,16767,265425
2023-12-13,16747,265234
2023-12-14,16743,265516
2023-12-15,16752,266052
2023-12-16,16759,265922
2023-12-17,16877,261263
2023-12-18,16930,259596
2023-12-19,16925,259672
2023-12-20,16944,259835
2023-12-21,16964,259680
2023-12-22,16989,259426
2023-12-23,16993,259573
2023-12-24,16976,259914
2023-12-25,16979,260177
2023-12-26,16957,260472
2023-12-27,16940,260717
2023-12-28,16938,261244
2023-12-29,16956,261573
2023-12-30,16957,262072
2023-12-31,16958,262656
2024-01-01,16953,263207
2024-01-02,16942,263765
2024-01-03,16949,264726
2024-01-04,16949,264726
2024-01-05,16972,265196
2024-01-06,16976,266249
2024-01-07,16874,271260
2024-01-08,16865,271546
2024-01-09,16883,271453
2024-01-10,16904,269359
2024-01-11,16928,269472
2024-01-12,16950,268561
2024-01-13,16939,267593
2024-01-14,17038,263839
2024-01-15,17050,263352
2024-01-16,17087,263787
2024-01-17,17113,264088
2024-01-18,17144,264148
2024-01-19,17138,264578
2024-01-20,17147,264692
2024-01-21,17163,265060
2024-01-22,17163,261267
2024-01-23,17183,261489
2024-01-24,17176,261685
2024-01-25,17205,262171
2024-01-26,17200,262760
2024-01-27,17214,248946
2024-01-28,17223,249517
2024-01-29,17233,250215
2024-01-30,17255,250415
2024-01-31,17262,250273
2024-02-01,17276,250338
2024-02-02,17298,250321
2024-02-03,17316,250028
2024-02-04,17202,253237
2024-02-05,17219,253218
2024-02-06,17246,252714
2024-02-07,17269,251971
2024-02-08,17316,251555
2024-02-09,17345,251488
2024-02-10,17364,251279
2024-02-11,17367,250849
2024-02-12,17361,251420
2024-02-13,17378,250954
2024-02-14,17412,250427
2024-02-15,17431,250321
2024-02-16,17427,250016
2024-02-17,17462,250084
2024-02-18,17566,246822
2024-02-19,17567,247053
2024-02-20,17599,247254
2024-02-21,17612,246897
2024-02-22,17636,247127
2024-02-23,17620,248322
2024-02-24,17644,248506
2024-02-25,17675,249773
2024-02-26,17679,249683
2024-02-27,17715,249391
2024-02-28,17734,251708
2024-02-29,17799,251492
2024-03-01,17839,251086
2024-03-02,17851,252187
2024-03-03,17843,252741
2024-03-04,17823,253554
2024-03-05,17842,252413
2024-03-06,17842,252413
2024-03-07,17849,254724
2024-03-08,17852,255416
2024-03-09,17798,258019
2024-03-10,17780,258701
2024-03-11,17776,258971
2024-03-12,17746,259345
2024-03-13,17761,258962
2024-03-14,17739,258418
2024-03-15,17737,258153
2024-03-16,17756,257595
2024-03-17,17742,257177
2024-03-18,17736,257325
2024-03-19,17739,256987
2024-03-20,17733,256613
2024-03-21,17709,256576
2024-03-22,17689,256911
2024-03-23,17662,257303
2024-03-24,17655,257891
2024-03-25,17660,260044
2024-03-26,17669,260425
2024-03-27,17586,260772
2024-03-28,17650,260608
2024-03-29,17642,261513
2024-03-30,17624,262596
2024-03-31,17630,263047
2024-04-01,17559,265864
2024-04-02,17555,266670
2024-04-03,17554,266755
2024-04-04,17535,268518
2024-04-05,17558,270300
2024-04-06,17550,269827
2024-04-07,17394,274653
2024-04-08,17389,272981
2024-04-09,17370,271921
2024-04-10,17353,272913
2024-04-11,17331,270736
2024-04-12,17353,269459
2024-04-13,17498,265673
2024-04-14,17489,266018
2024-04-15,17462,266289
2024-04-16,17462,266289
2024-04-17,17462,266289
2024-04-18,17462,266289
2024-04-19,17462,266289
2024-04-20,17462,266289
2024-04-21,17462,266289
2024-04-22,17483,265175
2024-04-23,17487,265543
2024-04-24,17506,264937
2024-04-25,17466,264780
2024-04-26,17529,265081
2024-04-27,17549,265386
2024-04-28,17532,265406
2024-04-29,17546,265321
2024-04-30,17532,264954
2024-05-01,17560,264909
2024-05-02,17605,264226
2024-05-03,17616,262300
2024-05-04,17560,264081
2024-05-05,17417,269006
2024-05-06,17436,268068
2024-05-07,17422,267560
2024-05-08,17425,267003
2024-05-09,17445,266271
2024-05-10,17475,265733
2024-05-11,17507,265503
2024-05-12,17498,265492
2024-05-13,17477,265437
2024-05-14,17489,264591
2024-05-15,17509,264473
2024-05-16,17504,264432
2024-05-17,17538,264228
2024-05-18,17662,260167
2024-05-19,17748,257631
2024-05-20,17752,257615
2024-05-21,17740,257455
2024-05-22,17743,256020
2024-05-23,17737,254600
2024-05-24,17747,255574
2024-05-25,17747,255496
2024-05-26,17750,255007
2024-05-27,17772,254776
2024-05-28,17729,254756
2024-05-29,17766,254662
2024-05-30,17749,254691
2024-05-31,17781,254598
2024-06-01,17800,254242
2024-06-02,17820,253909
2024-06-03,17818,253759
2024-06-04,17801,253966
2024-06-05,17814,253989
2024-06-06,17827,253443
2024-06-07,17851,252097
2024-06-08,17850,252246
2024-06-09,17703,255183
2024-06-10,17650,255355
2024-06-11,17699,254598
2024-06-12,17707,254300
2024-06-13,17724,254125
2024-06-14,17715,254060
2024-06-15,17733,253905
2024-06-16,17930,248288
2024-06-17,17927,248526
2024-06-18,17948,247765
2024-06-19,17975,247061
2024-06-20,17972,246210
2024-06-21,17962,245516
2024-06-22,17985,245340
2024-06-23,18008,245138
2024-06-24,18000,244942
2024-06-25,18021,245032
2024-06-26,18035,244987
2024-06-27,18036,245007
2024-06-28,18054,245075
2024-06-29,18075,245091
2024-06-30,18088,245337
2024-07-01,18082,245360
2024-07-02,18129,244784
2024-07-03,18138,244433
2024-07-04,18152,244039
2024-07-05,18122,243467
2024-07-06,18044,246506
2024-07-07,17965,249524
2024-07-08,17978,248910
2024-07-09,17995,248218
2024-07-10,18033,248250
2024-07-11,18043,248509
2024-07-12,18081,248638
2024-07-13,18094,248536
2024-07-14,18145,247540
2024-07-15,18295,241971
2024-07-16,18354,241935
2024-07-17,18367,241741
2024-07-18,18381,241416
2024-07-19,18415,241126
2024-07-20,18461,240392
2024-07-21,18447,240380
2024-07-22,18475,240379
2024-07-23,18502,240695
2024-07-24,18540,240662
2024-07-25,18563,240563
2024-07-26,18594,240147
2024-07-27,18648,239462
2024-07-28,18593,240157
2024-07-29,18614,240687
2024-07-30,18605,240748
2024-07-31,18605,240734
2024-08-01,18591,241728
2024-08-02,18624,240920
2024-08-03,18471,247084
2024-08-04,18476,247220
2024-08-05,18463,247306
2024-08-06,18498,246981
2024-08-07,18498,246762
2024-08-08,18519,246087
2024-08-09,18523,245800
2024-08-10,18538,245787
2024-08-11,18562,245970
2024-08-12,18583,246226
2024-08-13,18576,246208
2024-08-14,18583,246189
2024-08-15,18602,245810
2024-08-16,18610,245594
2024-08-17,18635,245610
2024-08-18,18652,246617
2024-08-19,18810,243504
2024-08-20,18921,240944
2024-08-21,18932,241350
2024-08-22,18971,241346
2024-08-23,19035,241482
2024-08-24,19044,241516
2024-08-25,19113,241134
2024-08-26,19135,241841
2024-08-27,19146,242398
2024-08-28,19191,242773
2024-08-29,19167,242734
2024-08-30,19194,243336
2024-08-31,19201,243784
2024-09-01,19210,243831
2024-09-02,19229,244458
2024-09-03,19201,244419
2024-09-04,18989,241016
2024-09-05,19003,241034
2024-09-06,18901,244235
2024-09-07,18808,247284
2024-09-08,18807,247274
2024-09-09,18798,247307
2024-09-10,18820,246903
2024-09-11,18829,246894
2024-09-12,18881,247163
2024-09-13,18909,247629
2024-09-14,18945,247687
2024-09-15,18950,247937
2024-09-16,19066,244933
2024-09-17,19232,242881
2024-09-18,19243,242187
2024-09-19,19250,242020
2024-09-20,19293,241684
2024-09-21,19293,241450
2024-09-22,19300,241738
2024-09-23,19309,241612
2024-09-24,19337,241871
2024-09-25,19351,241408
2024-09-26,19357,241174
2024-09-27,19344,240479
2024-09-28,19361,239584
2024-09-29,19369,240196
2024-09-30,19396,240232
