date,num_rrsig,num_httpsrr,rrsig_perc
2023-05-08,18789,142284,13.205279581681706
2023-05-09,18798,142537,13.188154654580917
2023-05-10,18825,142488,13.21163887485262
2023-05-11,18823,142471,13.211811526556282
2023-05-12,18845,142496,13.224932629687851
2023-05-13,18840,142483,13.222630068148481
2023-05-14,18837,142441,13.224422743451674
2023-05-15,18825,142427,13.217297282116453
2023-05-16,18836,142420,13.22567055188878
2023-05-17,18851,142459,13.232579198225455
2023-05-18,18868,142454,13.244977326014011
2023-05-19,18857,142443,13.238277767247249
2023-05-20,18861,142456,13.239877576234065
2023-05-21,18855,142440,13.237152485256951
2023-05-22,18864,142459,13.241704630806057
2023-05-23,18879,142452,13.252885182377222
2023-05-24,18846,142403,13.23427174989291
2023-05-25,18837,142418,13.226558440646548
2023-05-26,18827,142429,13.21851589212871
2023-05-27,18845,142439,13.23022486818919
2023-05-28,18846,142430,13.23176297128414
2023-05-29,18847,142424,13.23302252429366
2023-05-30,18848,142393,13.236605732023344
2023-05-31,18850,142370,13.240148907775515
2023-06-01,18866,142368,13.25157338727804
2023-06-02,18885,142403,13.261658813367696
2023-06-03,18878,142377,13.259164050373304
2023-06-04,18884,142331,13.267664809493365
2023-06-05,18885,142351,13.26650322091169
2023-06-06,18882,142367,13.262905027148145
2023-06-07,18893,142375,13.269885864793679
2023-06-08,18914,142386,13.283609343615243
2023-06-09,18916,142421,13.281749180247296
2023-06-10,18922,142353,13.292308556897291
2023-06-11,18926,142343,13.296052492922026
2023-06-12,18927,142341,13.296941850907329
2023-06-13,18927,142349,13.296194564064377
2023-06-14,18938,142265,13.311777316978878
2023-06-15,18951,142324,13.315393046850847
2023-06-16,18954,142368,13.313385030343898
2023-06-17,18944,141878,13.352316779204669
2023-06-18,18968,141882,13.368855809757404
2023-06-19,18967,141844,13.371732325653534
2023-06-20,18975,141821,13.37954181679723
2023-06-21,18988,141764,13.394091588837787
2023-06-22,18999,141775,13.400811144418974
2023-06-23,18990,141732,13.398526797053593
2023-06-24,18991,141710,13.401312539693741
2023-06-25,18999,141697,13.40818789388625
2023-06-26,18995,141678,13.40716272109996
2023-06-27,19001,141793,13.400520477033423
2023-06-28,19015,141845,13.405477810285875
2023-06-29,19015,141852,13.404816287398134
2023-06-30,19007,141834,13.400877081658841
2023-07-01,19009,141829,13.402759661282248
2023-07-02,19017,141826,13.408683880247628
2023-07-03,19011,141777,13.409086100002115
2023-07-04,19013,141726,13.415322523742997
2023-07-05,19013,141717,13.416174488593464
2023-07-06,19032,141603,13.440393212008221
2023-07-07,19030,141601,13.439170627326078
2023-07-08,19035,141603,13.44251181119044
2023-07-09,19026,141587,13.437674362759292
2023-07-10,19030,141596,13.439645187717167
2023-07-11,19028,141577,13.440036164066198
2023-07-12,19036,141570,13.44635162816981
2023-07-13,19048,141552,13.456538939753589
2023-07-14,19052,141520,13.4624081401922
2023-07-15,19051,141503,13.463318798894724
2023-07-16,19060,141509,13.469107971931114
2023-07-17,19094,141563,13.487987680396714
2023-07-18,19089,141552,13.485503560528993
2023-07-19,19089,141489,13.491508173780295
2023-07-20,19100,141466,13.501477386792587
2023-07-21,19125,141494,13.51647419678573
2023-07-22,19115,141362,13.522021476775937
2023-07-23,19118,141257,13.534196535392937
2023-07-24,19113,141203,13.535831391684313
2023-07-25,19125,141150,13.54941551540914
2023-07-26,19127,141061,13.559382111285188
2023-07-27,19118,141006,13.55828829978866
2023-07-28,19114,140988,13.557182171532329
2023-07-29,19121,140971,13.563782621957708
2023-07-30,19134,140955,13.574545067574759
2023-07-31,19135,140918,13.578818887580011
2023-08-01,19139,140663,13.606278836652141
2023-08-02,20380,137219,14.852170617771591
2023-08-03,20397,137251,14.861093908241106
2023-08-04,20394,137261,14.857825602319668
2023-08-05,20408,137302,14.863585381130646
2023-08-06,20407,137307,14.862315832404757
2023-08-07,20407,137298,14.863290069775234
2023-08-08,20420,137335,14.868751592820475
2023-08-09,20448,137364,14.885996330916397
2023-08-10,20450,137331,14.891029701960955
2023-08-11,20468,137354,14.901641015187035
2023-08-12,20472,137371,14.902708723092939
2023-08-13,20474,137359,14.90546669675813
2023-08-14,20487,137370,14.913736623716968
2023-08-15,20494,137357,14.920244326827174
2023-08-16,20506,137059,14.961439963811205
2023-08-17,20520,137061,14.971436075907807
2023-08-18,20525,137014,14.98022099931394
2023-08-19,20541,137013,14.992008057629567
2023-08-20,20537,136992,14.991386358327494
2023-08-21,20546,137014,14.995547900214577
2023-08-22,20552,137080,14.992704989786986
2023-08-23,20558,137104,14.994456762749445
2023-08-24,20572,137116,15.003354823652966
2023-08-25,20580,137158,15.004593242829438
2023-08-26,20582,137169,15.004848034176819
2023-08-27,20580,137179,15.00229626983722
2023-08-28,20586,137184,15.006123163051084
2023-08-29,20585,137199,15.003753671673993
2023-08-30,20600,137234,15.010857367707711
2023-08-31,20597,137250,15.006921675774135
2023-09-01,20601,137279,15.0066652583425
2023-09-02,20620,137293,15.018974019068708
2023-09-03,20621,137273,15.021890684985394
2023-09-04,20624,137281,15.0232005885738
2023-09-05,20635,137285,15.030775394252831
2023-09-06,20647,137321,15.0355735830645
2023-09-07,20656,137357,15.03818516711926
2023-09-08,20674,137297,15.057867251287355
2023-09-09,20623,136686,15.087865619009994
2023-09-10,20622,136688,15.086913262320028
2023-09-11,20625,136719,15.085686700458606
2023-09-12,20626,136732,15.084983763859228
2023-09-13,20647,136479,15.128334762124576
2023-09-14,20643,136496,15.123520103153206
2023-09-15,20651,136539,15.124616409963453
2023-09-16,20656,136537,15.1284999670419
2023-09-17,20664,136551,15.132807522464134
2023-09-18,20667,136551,15.135004503811762
2023-09-19,20668,136530,15.138064894162454
2023-09-20,20661,136554,15.130278131728108
2023-09-21,20681,136643,15.135059973800342
2023-09-22,20681,136643,15.135059973800342
2023-09-23,20677,136657,15.130582407048303
2023-09-24,20680,136662,15.132224027161904
2023-09-25,20687,136678,15.135574123121497
2023-09-26,20681,136676,15.131405660101262
2023-09-27,20700,136683,15.144531507210115
2023-09-28,20709,136722,15.146794224777285
2023-09-29,20729,136748,15.158539795828824
2023-09-30,20736,136756,15.16277165170084
2023-10-01,20735,136758,15.161818687023795
2023-10-02,20741,136800,15.161549707602338
2023-10-03,20733,136812,15.154372423471626
2023-10-04,20749,136904,15.155875650090575
2023-10-05,20749,136922,15.153883232789472
2023-10-06,20747,136939,15.150541481973725
2023-10-07,20750,136918,15.155056311076702
2023-10-08,20769,136965,15.163727959697733
2023-10-09,20773,136953,15.167977335290209
2023-10-10,20794,136987,15.17954258433282
2023-10-11,20802,137015,15.182279312484035
2023-10-12,20822,137046,15.193438699414795
2023-10-13,20841,137073,15.204307193976932
2023-10-14,20839,137092,15.200741108160942
2023-10-15,20846,137109,15.203961811405524
2023-10-16,20855,137120,15.209305717619603
2023-10-17,20847,137148,15.200367486219267
2023-10-18,20846,137170,15.197200554057009
2023-10-19,20857,137211,15.200676330614892
2023-10-20,20879,137253,15.212053652743474
2023-10-21,20882,136740,15.271317829457365
2023-10-22,20880,136241,15.325782987500093
2023-10-23,20898,136269,15.335843075094115
2023-10-24,20911,135500,15.432472324723248
2023-10-25,20916,135522,15.43365652809138
2023-10-26,20920,135558,15.43250859410732
2023-10-27,20926,135608,15.431242994513598
2023-10-28,20936,135642,15.434747349640967
2023-10-29,20941,135662,15.436157509103507
2023-10-30,20930,135652,15.429186447674933
2023-10-31,20909,135685,15.409956885433173
2023-11-01,20611,135402,15.222079437526773
2023-11-02,20620,135421,15.226589672207412
2023-11-03,20608,135362,15.224361342178751
2023-11-04,20612,135327,15.231254664627162
2023-11-05,20612,135347,15.22900396757963
2023-11-06,20613,135302,15.234808059008737
2023-11-07,20714,135479,15.289454454195853
2023-11-08,20722,135512,15.291634689178817
2023-11-09,20708,135533,15.27893575734323
2023-11-10,20720,135584,15.28203917866415
2023-11-11,20709,135562,15.276404892226434
2023-11-12,20709,135562,15.276404892226434
2023-11-13,20715,135585,15.278238743223808
2023-11-14,20716,135671,15.26929115286244
2023-11-15,20709,135710,15.259745044580356
2023-11-16,20726,135740,15.268896419625754
2023-11-17,20735,135758,15.273501377451053
2023-11-18,20738,135765,15.274923581188082
2023-11-19,20749,135791,15.280099564772334
2023-11-20,20758,135794,15.286389678483586
2023-11-21,20754,135824,15.28006832371304
2023-11-22,20769,135848,15.288410576526706
2023-11-23,20793,135912,15.298869856966272
2023-11-24,20796,135932,15.29882588353
2023-11-25,20799,135928,15.301483138131951
2023-11-26,20802,135935,15.302902122337882
2023-11-27,20805,135933,15.305334245547439
2023-11-28,20815,135968,15.308749117439397
2023-11-29,20833,135987,15.31984675005699
2023-11-30,20836,135985,15.322278192447696
2023-12-01,20844,135966,15.3303031640263
2023-12-02,20842,135991,15.326014221529366
2023-12-03,20842,135954,15.330185209703282
2023-12-04,20848,135944,15.335726475607602
2023-12-05,20838,135988,15.323410889196106
2023-12-06,20845,136000,15.327205882352942
2023-12-07,20861,135942,15.34551499904371
2023-12-08,20866,135945,15.34885431608371
2023-12-09,20871,135892,15.358520001177405
2023-12-10,20864,135909,15.351448395617656
2023-12-11,20867,135936,15.350606167608285
2023-12-12,20880,135948,15.358813664048018
2023-12-13,20874,135960,15.353045013239187
2023-12-14,20881,136003,15.35333779401925
2023-12-15,20883,136016,15.353340783437243
2023-12-16,20894,136053,15.357250483267551
2023-12-17,20909,136062,15.367259043671268
2023-12-18,20910,136084,15.365509538226389
2023-12-19,20901,136087,15.358557393432143
2023-12-20,20927,136071,15.379471011457253
2023-12-21,20941,136124,15.383767741177161
2023-12-22,20951,136132,15.390209502541651
2023-12-23,20969,136186,15.39732424772003
2023-12-24,20966,136187,15.395008334128809
2023-12-25,20974,136179,15.40178735340985
2023-12-26,20971,136189,15.39845361960217
2023-12-27,20961,136183,15.391788989815176
2023-12-28,20980,136207,15.403026276182574
2023-12-29,20991,136226,15.408952769662179
2023-12-30,20989,136246,15.405222905626587
2023-12-31,20985,136242,15.402739243405117
2024-01-01,20992,136215,15.410931248394084
2024-01-02,20990,136230,15.407766277618734
2024-01-03,20999,136252,15.411883862255232
2024-01-04,20999,136252,15.411883862255232
2024-01-05,21036,136338,15.429300708533205
2024-01-06,21037,136342,15.429581493596984
2024-01-07,21043,136333,15.435001063572283
2024-01-08,21052,136356,15.438997917216698
2024-01-09,21059,136367,15.442885742151693
2024-01-10,21080,136408,15.453639082751744
2024-01-11,21074,136441,15.44550391744417
2024-01-12,21093,136472,15.45591769740313
2024-01-13,21087,136485,15.450049455984175
2024-01-14,21094,136501,15.453366642002623
2024-01-15,21106,136480,15.464536928487691
2024-01-16,21101,136496,15.459061071386706
2024-01-17,21119,136548,15.466356153147611
2024-01-18,21126,136593,15.466385539522523
2024-01-19,21127,136618,15.464287282788506
2024-01-20,21130,136586,15.470106745932965
2024-01-21,21140,136596,15.476295059884624
2024-01-22,21141,136603,15.476234050496695
2024-01-23,21154,136646,15.480877596124293
2024-01-24,21177,136654,15.49680214263761
2024-01-25,21188,136667,15.503376821032143
2024-01-26,21144,136644,15.473785896197418
2024-01-27,21147,136689,15.470886464894761
2024-01-28,21157,136675,15.479787817815987
2024-01-29,21171,136682,15.489237792832999
2024-01-30,21178,136704,15.49186563670412
2024-01-31,21204,136703,15.510998295575078
2024-02-01,21193,136697,15.503632120675656
2024-02-02,21217,136719,15.518691622963889
2024-02-03,21211,136709,15.515437900942878
2024-02-04,21213,136707,15.517127872018259
2024-02-05,21219,136710,15.521176212420452
2024-02-06,21236,136742,15.529976159482821
2024-02-07,21239,136746,15.531715735743642
2024-02-08,21257,136786,15.540333075022298
2024-02-09,21278,136778,15.556595358902747
2024-02-10,21276,136745,15.558886979414238
2024-02-11,21274,136701,15.562431876869956
2024-02-12,21280,136698,15.567162650514272
2024-02-13,21289,136729,15.57021553584097
2024-02-14,21293,136672,15.579635916647156
2024-02-15,21290,136548,15.591586841257287
2024-02-16,21317,136479,15.619252778815788
2024-02-17,21325,136425,15.63129924867143
2024-02-18,21335,136377,15.644133541579592
2024-02-19,21333,136339,15.647026896192578
2024-02-20,21338,136236,15.662526791743739
2024-02-21,21328,136126,15.667837150874925
2024-02-22,21338,136143,15.673225946247696
2024-02-23,21359,136051,15.699259836384885
2024-02-24,21357,135860,15.719858678050935
2024-02-25,21361,135870,15.721645690733789
2024-02-26,21368,135866,15.72726068332033
2024-02-27,21365,135848,15.727136211059419
2024-02-28,21392,135788,15.75396942292397
2024-02-29,21404,135794,15.762110255239554
2024-03-01,21409,135541,15.795220634346803
2024-03-02,21408,135491,15.800311459801758
2024-03-03,21404,135399,15.808093117379006
2024-03-04,21421,135316,15.830352656005203
2024-03-05,21417,135299,15.829385287400498
2024-03-06,21417,135299,15.829385287400498
2024-03-07,21443,135257,15.853523292694648
2024-03-08,21456,135195,15.870409408631977
2024-03-09,21460,135140,15.879828326180258
2024-03-10,21460,135110,15.883354303900525
2024-03-11,21467,135032,15.897713134664375
2024-03-12,21455,135012,15.891180043255414
2024-03-13,21464,135018,15.897139640640507
2024-03-14,21474,134886,15.92011031537743
2024-03-15,21469,134864,15.918999881361964
2024-03-16,21486,134863,15.931723304390381
2024-03-17,21489,134655,15.95856076640303
2024-03-18,21486,134597,15.9632086896439
2024-03-19,21498,134567,15.975684974770932
2024-03-20,21498,134563,15.976159865639143
2024-03-21,21491,134540,15.973688122491453
2024-03-22,21514,134545,15.990189156044446
2024-03-23,21507,134446,15.996757062314982
2024-03-24,21511,134411,16.00389849045093
2024-03-25,21507,134359,16.007115265817696
2024-03-26,21512,134306,16.017154855330364
2024-03-27,21518,134263,16.02675346148976
2024-03-28,21557,134324,16.048509573866173
2024-03-29,21559,134312,16.05143248555602
2024-03-30,21565,134162,16.073851015935958
2024-03-31,21549,134070,16.07294696800179
