date,num_httpsrr
2023-08-02,137219
2023-08-03,137251
2023-08-04,137261
2023-08-05,137302
2023-08-06,137307
2023-08-07,137298
2023-08-08,137335
2023-08-09,137364
2023-08-10,137331
2023-08-11,137354
2023-08-12,137371
2023-08-13,137359
2023-08-14,137370
2023-08-15,137357
2023-08-16,137059
2023-08-17,137061
2023-08-18,137014
2023-08-19,137013
2023-08-20,136992
2023-08-21,137014
2023-08-22,137080
2023-08-23,137104
2023-08-24,137116
2023-08-25,137158
2023-08-26,137169
2023-08-27,137179
2023-08-28,137184
2023-08-29,137199
2023-08-30,137234
2023-08-31,137250
2023-09-01,137279
2023-09-02,137293
2023-09-03,137273
2023-09-04,137281
2023-09-05,137285
2023-09-06,137321
2023-09-07,137357
2023-09-08,137297
2023-09-09,136686
2023-09-10,136688
2023-09-11,136719
2023-09-12,136732
2023-09-13,136479
2023-09-14,136496
2023-09-15,136539
2023-09-16,136537
2023-09-17,136551
2023-09-18,136551
2023-09-19,136530
2023-09-20,136554
2023-09-21,136643
2023-09-22,136643
2023-09-23,136657
2023-09-24,136662
2023-09-25,136678
2023-09-26,136676
2023-09-27,136683
2023-09-28,136722
2023-09-29,136748
2023-09-30,136756
2023-10-01,136758
2023-10-02,136800
2023-10-03,136812
2023-10-04,136904
2023-10-05,136922
2023-10-06,136939
2023-10-07,136918
2023-10-08,136965
2023-10-09,136953
2023-10-10,136987
2023-10-11,137015
2023-10-12,137046
2023-10-13,137073
2023-10-14,137092
2023-10-15,137109
2023-10-16,137120
2023-10-17,137148
2023-10-18,137170
2023-10-19,137211
2023-10-20,137253
2023-10-21,136740
2023-10-22,136241
2023-10-23,136269
2023-10-24,135500
2023-10-25,135522
2023-10-26,135558
2023-10-27,135608
2023-10-28,135642
2023-10-29,135662
2023-10-30,135652
2023-10-31,135685
2023-11-01,135402
2023-11-02,135421
2023-11-03,135362
2023-11-04,135327
2023-11-05,135347
2023-11-06,135302
2023-11-07,135479
2023-11-08,135512
2023-11-09,135533
2023-11-10,135584
2023-11-11,135562
2023-11-12,135562
2023-11-13,135585
2023-11-14,135671
2023-11-15,135710
2023-11-16,135740
2023-11-17,135758
2023-11-18,135765
2023-11-19,135791
2023-11-20,135794
2023-11-21,135824
2023-11-22,135848
2023-11-23,135912
2023-11-24,135932
2023-11-25,135928
2023-11-26,135935
2023-11-27,135933
2023-11-28,135968
2023-11-29,135987
2023-11-30,135985
2023-12-01,135966
2023-12-02,135991
2023-12-03,135954
2023-12-04,135944
2023-12-05,135988
2023-12-06,136000
2023-12-07,135942
2023-12-08,135945
2023-12-09,135892
2023-12-10,135909
2023-12-11,135936
2023-12-12,135948
2023-12-13,135960
2023-12-14,136003
2023-12-15,136016
2023-12-16,136053
2023-12-17,136062
2023-12-18,136084
2023-12-19,136087
2023-12-20,136071
2023-12-21,136124
2023-12-22,136132
2023-12-23,136186
2023-12-24,136187
2023-12-25,136179
2023-12-26,136189
2023-12-27,136183
2023-12-28,136207
2023-12-29,136226
2023-12-30,136246
2023-12-31,136242
2024-01-01,136215
2024-01-02,136230
2024-01-03,136252
2024-01-04,136252
2024-01-05,136338
2024-01-06,136342
2024-01-07,136333
2024-01-08,136356
2024-01-09,136367
2024-01-10,136408
2024-01-11,136441
2024-01-12,136472
2024-01-13,136485
2024-01-14,136501
2024-01-15,136480
2024-01-16,136496
2024-01-17,136548
2024-01-18,136593
2024-01-19,136618
2024-01-20,136586
2024-01-21,136596
2024-01-22,136603
2024-01-23,136646
2024-01-24,136654
2024-01-25,136667
2024-01-26,136644
2024-01-27,136689
2024-01-28,136675
2024-01-29,136682
2024-01-30,136704
2024-01-31,136703
2024-02-01,136697
2024-02-02,136719
2024-02-03,136709
2024-02-04,136707
2024-02-05,136710
2024-02-06,136742
2024-02-07,136746
2024-02-08,136786
2024-02-09,136778
2024-02-10,136745
2024-02-11,136701
2024-02-12,136698
2024-02-13,136729
2024-02-14,136672
2024-02-15,136548
2024-02-16,136479
2024-02-17,136425
2024-02-18,136377
2024-02-19,136339
2024-02-20,136236
2024-02-21,136126
2024-02-22,136143
2024-02-23,136051
2024-02-24,135860
2024-02-25,135870
2024-02-26,135866
2024-02-27,135848
2024-02-28,135788
2024-02-29,135794
2024-03-01,135541
2024-03-02,135491
2024-03-03,135399
2024-03-04,135316
2024-03-05,135299
2024-03-06,135299
2024-03-07,135257
2024-03-08,135195
2024-03-09,135140
2024-03-10,135110
2024-03-11,135032
2024-03-12,135012
2024-03-13,135018
2024-03-14,134886
2024-03-15,134864
2024-03-16,134863
2024-03-17,134655
2024-03-18,134597
2024-03-19,134567
2024-03-20,134563
2024-03-21,134540
2024-03-22,134545
2024-03-23,134446
2024-03-24,134411
2024-03-25,134359
2024-03-26,134306
2024-03-27,134263
2024-03-28,134324
2024-03-29,134312
2024-03-30,134162
2024-03-31,134070
